native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
1.19,3.007,6.523,3.917,44.972,16.31,21.489,2.339,0.461,25.103,20.54,4.488
1.004,3.072,5.308,4.037,46.158,12.253,23.918,1.787,0.558,25.807,20.028,5.006
1.187,2.468,4.64,7.591,44.408,12.282,20.453,2.206,0.528,27.49,21.036,4.193
1.073,2.555,5.351,3.914,44.815,12.045,19.924,1.821,0.666,28.53,21.13,6.324
1.178,2.718,5.231,3.583,43.908,12.183,19.675,2.059,0.591,24.338,20.242,5.543
1.066,3.085,5.25,3.921,46.853,12.471,21.456,2.143,0.566,25.178,20.768,4.188
1.08,2.738,5.784,4.124,45.018,13.247,19.728,2.306,0.588,25.252,21.103,7.537
6.477,4.707,5.362,6.917,46.218,12.004,19.694,1.896,0.568,24.8,20.469,4.263
0.999,4.356,5.376,3.905,47.379,12.973,21.221,1.846,0.582,24.652,20.245,4.431
0.996,2.494,5.247,4.162,44.132,12.069,20.352,2.198,0.564,24.167,21.347,5.662
1.248,3.751,5.7,6.639,52.375,12.248,21.349,2.071,0.583,24.29,20.178,4.981
1.113,4.419,5.326,3.987,46.646,12.415,20.342,1.988,0.663,24.337,22.661,4.767
1.011,2.09,5.617,4.069,45.532,12.317,19.029,2.08,0.458,27.636,20.937,5.066
0.965,4.789,5.327,7.299,44.526,11.649,19.992,2.024,0.562,23.607,21.761,4.485
0.993,2.78,4.664,6.253,45.816,12.432,19.836,1.855,0.484,25.812,21.905,5.133
1.074,2.326,6.504,3.505,45.523,13.17,19.062,2.547,0.475,25.103,20.209,5.068
1.236,3.134,5.839,4.178,45.42,13.013,19.003,1.863,0.585,24.745,20.727,5.407
1.238,2.102,5.326,3.589,46.803,12.392,19.141,1.895,0.569,24.317,21.145,4.148
1.056,2.832,6.195,4.121,44.784,11.794,21.034,2.11,0.575,23.94,20.737,4.771
1.013,3.717,5.384,3.969,46.346,12.26,21.719,2.161,0.47,24.42,22.018,4.416
0.989,2.821,5.36,4.374,43.584,14.296,19.412,2.028,0.464,25.476,20.614,4.843
1.094,4.1,5.944,3.405,44.089,12.566,20.799,2.12,0.741,23.561,20.718,4.4
1.01,2.941,5.646,3.969,44.564,12.305,19.654,2.742,0.557,24.584,20.681,5.022
1.017,3.39,5.415,3.588,44.734,12.652,19.64,1.846,0.462,25.925,21.512,4.814
1.003,2.998,5.441,3.599,45.616,13.211,19.832,2.043,0.574,24.805,21.628,5.63
1.027,3.16,5.683,3.309,48.972,12.702,19.069,2.036,0.58,24.216,20.221,4.667
1.009,2.924,5.61,4.183,46.71,12.525,19.598,2.408,0.53,25.929,21.008,4.758
0.957,2.988,5.876,4.183,50.302,13.405,19.867,1.997,0.618,28.038,25.762,4.637
1.019,3.107,6.22,12.769,44.456,12.377,19.832,1.876,0.554,24.444,20.363,5.244
1.053,4.269,6.037,5.953,48.876,16.439,22.399,1.998,0.583,26.006,20.546,4.621
1.253,2.728,5.469,5.615,46.358,12.513,19.397,2.503,0.581,26.027,21.424,4.725
1.021,2.759,5.385,5.898,44.518,12.094,20.5,2.085,0.625,24.728,21.031,4.175
1.016,3.392,5.534,5.546,44.839,11.819,19.952,1.996,0.451,25.278,20.854,4.325
0.962,4.971,5.756,3.52,48.889,11.952,20.903,1.996,0.565,25.628,22.521,6.127
1.313,3.055,6.228,5.457,45.656,12.133,20.108,3.19,0.501,25.474,20.141,4.661
1.44,4.868,6.205,4.023,47.45,12.798,19.97,2.054,0.575,25.4,20.124,4.974
1.311,2.907,5.354,3.565,44.889,12.072,19.54,2.601,0.57,26.569,21.048,4.763
0.958,5.476,5.906,3.655,44.929,12.609,20.34,1.864,0.61,25.088,20.452,5.261
1.016,4.516,5.323,4.162,47.637,13.033,20.313,1.993,0.582,24.98,21.027,6.668
1.3,4.119,5.368,4.245,48.754,13.26,23.145,1.982,0.582,23.903,20.979,5.111
1.017,6.324,6.48,6.636,48.87,12.332,19.2,2.034,0.47,24.447,21.221,4.414
1.001,2.787,6.347,3.889,47.416,12.947,21.054,2.036,0.827,25.168,20.376,4.698
1.017,3.204,5.935,3.906,48.126,12.975,19.532,2.141,0.456,24.489,24.93,4.497
1.373,2.844,11.202,3.353,46.856,12.751,27.224,1.865,0.486,25.866,20.858,4.353
1.056,3.16,5.391,3.835,48.771,12.764,22.991,2.227,0.481,25.012,21.831,6.143
0.954,2.071,5.296,3.513,52.884,12.387,20.002,2.022,0.552,25.228,19.988,4.604
0.987,4.026,5.443,5.74,45.034,12.804,21.203,1.922,0.569,24.924,20.347,4.222
1.053,2.908,6.397,3.46,44.878,13.189,18.955,3.805,0.583,26.1,21.131,4.231
0.977,2.435,7.056,3.948,53.332,12.157,22.389,2.152,0.566,25.9,21.088,8.688
1.028,2.634,4.73,9.764,46.284,12.794,20.665,1.866,0.452,24.485,21.217,4.097
1.048,2.977,6.573,3.77,45.536,14.717,21.153,2.547,0.593,24.03,21.331,4.476
0.996,3.615,5.332,5.362,51.241,12.198,20.921,1.958,0.537,29.544,22.49,5.477
1.095,4.249,5.343,4.149,47.713,11.924,19.774,1.99,0.551,24.067,20.5,4.765
1.009,3.95,5.788,4.05,48.273,12.563,19.995,1.939,0.75,25.034,21.242,4.503
1.173,2.95,5.333,4.1,53.322,13.355,21.942,1.978,0.557,28.284,24.397,4.892
0.987,4.749,5.469,4.114,46.75,12.032,20.036,2.439,0.59,25.401,21.774,4.61
0.995,2.986,6.379,5.666,44.726,12.494,19.395,2.014,0.606,29.237,20.738,4.714
1.474,4.15,5.387,3.756,56.866,13.053,21.806,2.04,0.596,26.314,30.657,4.839
1.021,3.353,5.287,4.812,53.186,12.374,21.237,2.006,0.613,24.494,21.375,4.707
1.473,3.731,5.273,7.45,45.332,12.134,20.627,2.081,0.579,24.483,20.667,4.515
1.039,2.065,5.638,3.898,50.567,12.492,20.565,1.944,0.575,24.14,20.569,4.688
1.017,3.906,5.554,4.316,44.899,12.049,19.89,1.888,0.651,24.659,21.62,5.123
1.486,3.226,8.881,3.597,48.497,12.5,19.056,2.147,0.513,25.039,20.722,5.201
1.355,3.316,5.749,3.935,46.839,13.079,19.604,1.907,0.607,25.005,22.415,4.312
1.281,8.186,6.024,3.658,44.438,16.085,19.911,1.857,0.627,23.919,20.545,5.84
