native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.149,0.389,0.519,0.708,3.204,1.915,2.032,0.123,0.09,0.089,0.643,1.213,0.481,2.318,0.368,3.027,1.52
0.136,0.3,0.615,0.714,2.832,2.184,2.16,0.115,0.088,0.084,0.646,1.224,0.483,3.09,0.373,3.218,1.518
0.136,0.302,0.515,0.743,3.481,1.92,2.766,0.112,0.105,0.089,0.645,1.207,0.481,2.383,0.375,3.028,1.531
0.145,0.346,0.52,0.711,2.988,1.856,2.119,0.111,0.083,0.084,0.641,1.281,0.481,2.358,0.388,3.306,1.55
0.137,0.304,0.516,0.706,3.694,1.971,2.065,0.113,0.083,0.085,0.735,1.191,0.494,2.352,0.363,3.295,1.516
0.136,0.309,0.519,0.713,3.349,2.017,2.008,0.121,0.086,0.086,0.655,1.305,0.51,2.133,0.478,3.258,2.073
0.146,0.32,0.561,0.752,3.554,1.991,2.299,0.12,0.093,0.087,0.776,1.232,0.529,2.436,0.42,3.501,1.567
0.137,0.31,0.52,5.78,3.118,1.978,2.051,0.138,0.086,0.096,0.653,1.279,0.486,2.37,0.358,3.335,1.51
0.149,0.356,0.517,0.709,3.025,2.206,2.033,0.196,0.084,0.098,0.689,1.195,0.487,2.403,0.358,7.969,1.517
0.136,0.456,0.516,1.023,3.451,2.149,2.048,0.119,0.089,0.08,0.647,1.151,0.507,2.317,0.385,3.258,1.425
0.136,0.301,0.52,0.711,3.037,2.102,2.241,0.125,0.09,0.085,0.646,2.112,1.093,2.387,0.363,3.2,1.518
0.246,0.318,0.655,0.716,3.162,2.278,2.209,0.115,0.081,0.116,0.69,1.245,0.482,2.399,0.379,3.417,1.505
0.138,0.302,0.519,0.767,2.804,1.972,2.054,0.112,0.172,0.087,0.65,1.213,0.748,2.269,0.401,3.222,1.541
0.146,0.355,0.517,0.713,3.332,2.017,2.154,0.124,0.093,0.085,0.643,1.352,0.49,2.381,0.401,3.079,1.558
0.206,0.315,0.518,0.759,3.146,1.969,2.066,0.113,0.086,0.088,0.645,1.21,0.484,2.567,0.369,3.138,1.957
0.137,0.302,0.522,0.888,3.183,2.321,2.208,0.111,0.084,0.085,1.193,1.198,0.478,2.391,0.406,3.261,1.522
0.144,0.34,0.588,1.557,3.576,2.978,2.561,0.128,0.088,0.082,0.649,1.292,0.516,2.188,0.389,3.229,1.527
0.137,0.31,0.773,5.706,3.342,1.856,2.027,0.122,0.088,0.085,0.644,1.218,0.524,2.588,0.387,3.872,1.43
0.147,0.311,0.683,0.943,3.242,1.904,2.056,0.116,0.083,0.154,0.67,1.224,0.526,2.222,0.377,3.214,1.576
0.139,0.389,0.518,0.992,3.195,1.997,2.652,0.126,0.09,0.083,0.647,1.438,0.522,2.181,0.376,3.286,1.496
0.137,0.303,0.521,0.725,2.946,1.984,2.033,0.117,0.089,0.113,0.651,1.132,0.522,2.246,0.38,4.09,1.433
0.137,0.376,0.52,0.727,3.991,2.065,2.089,0.125,0.087,0.089,0.753,1.337,0.479,2.41,0.526,3.222,1.524
0.139,0.302,0.562,0.765,3.071,2.058,2.058,0.154,0.084,0.085,3.176,1.213,0.598,2.195,0.365,3.258,1.518
0.148,0.31,0.515,0.71,3.138,2.165,2.042,0.125,0.089,0.079,0.654,1.146,0.514,2.218,0.584,3.047,1.531
0.137,0.304,0.517,0.746,3.192,1.921,2.833,0.112,0.082,0.088,0.652,1.183,0.928,2.372,0.378,3.292,1.453
4.515,0.317,0.545,0.749,3.535,2.111,2.758,0.119,0.089,0.081,0.644,1.235,0.589,2.557,0.372,3.178,1.524
0.136,0.329,0.574,0.77,3.032,2.191,2.097,0.121,0.088,0.085,2.321,1.195,0.479,2.359,0.378,3.181,1.53
0.136,0.303,0.565,0.71,2.814,2.086,2.307,0.124,0.091,0.086,0.672,1.252,0.487,2.414,0.392,3.321,1.766
0.137,0.3,0.549,0.708,2.834,2.148,2.183,0.113,0.092,0.082,0.651,1.205,0.479,2.386,0.4,3.23,1.639
0.146,0.423,0.52,0.719,3.58,1.973,2.226,0.117,0.089,0.089,0.887,1.555,0.481,2.913,0.364,3.544,1.502
0.139,0.309,0.579,0.709,3.705,1.943,2.254,0.114,0.09,0.085,0.942,1.199,0.479,2.646,0.41,3.3,1.541
0.137,0.304,0.519,0.754,3.162,2.092,6.57,0.122,0.091,0.083,0.648,1.255,0.484,2.528,0.358,3.306,2.084
0.137,0.357,0.514,0.781,3.117,1.98,2.135,0.113,0.085,0.085,0.651,1.214,0.482,2.414,0.395,3.194,1.517
0.177,0.31,0.554,0.895,3.159,1.949,2.15,0.119,0.091,0.086,0.675,1.441,0.493,3.305,0.373,3.376,1.549
0.137,0.356,0.548,0.706,2.937,1.818,2.098,0.122,0.087,0.082,0.648,1.219,0.488,2.184,0.532,3.14,1.571
0.137,0.315,0.517,0.756,3.087,2.976,2.399,0.113,0.099,0.087,0.646,1.253,0.481,2.429,0.371,3.235,1.556
