native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.862,1.908,3.605,3.327,11.896,2.739,5.149,0.408,0.422,0.397,2.472,3.279,2.522,8.772,3.377,6.641,4.899
0.648,1.72,3.844,3.944,11.805,2.616,5.056,0.406,0.284,0.274,2.407,4.71,2.372,8.395,2.914,7.323,5.569
0.812,1.72,4.269,3.18,16.498,2.719,5.286,0.436,0.553,0.278,2.393,5.08,2.376,9.19,2.898,6.582,4.906
0.696,1.711,3.628,9.313,13.911,7.306,5.011,0.444,0.385,0.373,2.473,3.235,2.31,8.877,2.993,7.887,5.376
0.681,1.747,3.808,4.846,12.455,2.662,5.012,0.402,0.384,0.439,2.444,3.256,2.39,8.418,2.825,6.855,5.456
0.648,1.686,3.584,4.128,14.304,2.634,5.012,0.407,0.442,0.374,2.441,3.238,2.351,8.399,2.924,6.787,5.388
0.646,1.742,3.459,3.135,12.261,2.605,5.098,0.425,0.412,0.699,3.234,3.611,2.526,8.323,2.786,6.745,4.824
0.692,2.482,4.674,3.32,13.818,2.712,5.059,0.42,0.407,0.384,2.457,3.207,2.355,8.963,3.128,6.926,5.401
0.719,1.796,4.342,7.686,11.718,2.6,5.076,0.41,0.342,1.146,2.537,3.784,2.381,8.77,2.931,6.675,5.53
0.647,1.893,4.274,3.812,12.865,3.105,5.089,0.404,0.392,0.376,2.393,3.361,2.424,8.483,3.569,6.789,10.465
0.65,1.705,3.92,3.645,11.281,2.991,5.206,0.428,0.392,0.389,2.995,4.751,2.355,8.563,2.962,7.451,5.441
0.647,2.145,3.469,3.996,13.099,2.765,5.211,0.449,0.388,0.405,2.505,3.5,2.521,8.667,2.992,6.765,5.749
0.888,2.02,3.467,3.114,12.966,2.593,5.109,0.407,0.405,0.427,2.541,5.195,2.516,9.011,3.312,6.734,5.361
0.649,2.684,3.708,6.426,12.089,2.611,5.066,0.413,0.284,0.279,2.481,3.333,2.462,8.596,3.212,6.606,4.847
0.821,2.008,4.362,3.236,12.107,2.611,5.092,0.408,0.28,0.269,2.538,3.277,2.347,8.447,2.828,6.676,5.263
0.691,2.315,3.626,3.317,12.828,2.764,5.731,0.413,0.342,0.282,2.467,5.006,2.489,9.595,2.885,6.629,5.619
0.692,1.908,3.938,6.257,12.772,2.78,5.158,0.41,0.437,0.38,2.58,3.338,3.679,8.668,2.883,6.789,4.816
0.654,1.739,3.868,4.891,11.341,2.729,5.027,0.408,0.401,0.38,2.605,3.234,2.327,8.575,2.846,7.787,5.406
0.821,1.761,3.638,3.678,12.088,2.985,5.442,0.416,0.284,0.297,2.513,3.214,2.414,8.678,3.017,6.782,4.895
0.774,1.86,3.599,7.676,12.261,2.613,5.253,0.408,0.402,0.386,2.418,3.221,2.369,8.462,2.903,6.678,5.148
0.714,1.99,3.56,3.744,12.263,3.177,5.357,0.425,0.414,0.402,2.701,3.955,2.535,8.908,3.02,6.639,5.327
0.645,1.795,4.133,3.786,12.843,2.85,5.085,0.411,0.478,0.38,2.423,5.036,2.489,8.868,3.628,6.719,5.432
0.646,1.874,3.434,4.009,12.22,2.606,5.004,0.411,0.394,0.377,2.618,3.832,2.638,9.407,3.33,7.496,5.481
0.855,1.864,3.778,4.95,11.663,2.655,12.183,0.411,0.346,0.41,2.502,4.854,2.387,8.609,3.596,6.697,4.99
0.647,2.097,3.491,3.703,12.316,2.687,5.037,0.411,0.402,0.386,2.402,3.253,2.379,8.522,3.058,7.267,6.248
0.649,1.71,3.935,3.177,12.24,2.674,5.097,0.443,0.373,0.288,2.601,3.327,2.353,8.488,2.926,6.717,5.729
0.861,3.673,4.155,8.493,12.329,2.627,5.116,0.403,0.385,0.402,2.39,4.276,2.362,9.124,2.916,6.618,5.758
0.664,1.716,3.672,3.062,12.012,2.713,5.301,0.409,0.391,0.381,2.524,3.773,2.334,8.978,2.909,6.955,5.688
0.694,1.803,3.752,5.479,11.004,2.755,7.197,0.414,0.4,0.379,2.483,3.8,2.465,8.27,2.846,6.586,5.432
0.647,1.753,3.695,5.504,11.721,2.784,5.484,0.407,0.286,0.307,3.081,3.304,2.34,8.561,2.918,6.561,4.965
0.645,1.723,3.687,8.169,12.216,2.63,5,0.425,0.282,0.271,2.394,3.246,2.338,8.988,2.873,6.726,5.892
0.653,1.911,3.69,3.153,12.196,2.696,5.336,0.43,0.315,0.297,2.73,3.452,2.478,8.559,2.927,7.308,4.836
0.686,1.852,3.527,3.824,12.677,2.549,5.067,0.413,0.447,0.281,3.398,5.982,2.456,8.925,2.846,6.576,5.355
0.707,1.9,3.479,4.216,13.026,2.789,5.058,0.404,0.28,0.274,2.468,3.265,2.341,9.109,2.931,7.621,5.502
0.647,1.75,4.821,8.118,16.01,2.643,5.073,0.408,0.283,0.28,2.466,4.874,2.364,8.53,3.051,7.299,5.373
0.645,1.844,3.816,3.676,12.36,2.637,5.157,0.404,0.385,0.373,2.484,3.72,2.383,8.486,2.951,6.669,5.841
0.647,1.773,3.636,4.163,11.709,2.626,5.155,0.404,0.386,0.378,2.562,3.3,2.798,9.562,3.002,6.772,4.995
0.859,1.731,4.006,3.761,12.522,2.814,5.512,0.416,0.324,0.276,2.628,4.771,2.365,9.104,2.897,11.416,5.17
0.646,1.745,3.981,3.719,12.447,2.685,5.283,0.402,0.398,0.383,2.65,3.19,2.328,8.678,2.912,6.753,5.408
0.685,1.909,3.648,3.908,13.017,3.775,6.236,0.421,0.392,0.268,2.376,3.207,2.468,8.566,3.066,6.594,5.351
0.715,1.892,4.317,4.817,11.936,2.628,5.079,0.539,0.388,0.376,2.636,3.264,2.435,8.718,3.202,6.87,4.912
0.646,5.745,8.029,3.77,11.807,2.622,5.183,0.429,0.446,0.409,2.621,3.782,3.674,8.888,2.927,6.919,6.466
0.649,1.738,4.229,3.513,12.689,2.66,5.032,0.415,0.29,0.313,2.56,4.128,2.54,9.259,2.945,6.904,6.94
0.65,1.727,3.558,7.357,13.289,2.741,5.446,0.408,0.39,0.374,2.68,4.883,2.34,8.415,2.937,7.568,7.624
0.711,2.024,3.7,3.091,12.553,2.628,5.167,0.441,0.386,0.378,2.518,3.26,2.365,8.624,2.918,6.612,5.46
0.696,2.616,4.324,3.939,12.145,2.64,5.182,0.405,0.279,0.27,2.584,3.184,2.411,8.199,2.847,6.659,6.063
0.882,1.774,3.696,6.599,11.888,2.767,5.227,0.407,0.281,1.547,2.733,3.245,2.435,8.757,2.995,7.154,6.991
0.648,1.908,4.256,3.238,16.854,2.64,5.382,0.405,0.28,0.266,2.564,3.278,2.349,8.485,2.82,6.644,5.369
0.846,2.157,3.632,3.758,12.878,2.833,6.73,0.416,0.387,0.374,2.529,3.263,2.456,8.311,2.866,6.6,5.207
0.774,2.052,3.828,3.907,13.831,2.623,5.072,0.413,0.282,0.269,2.449,3.262,2.381,9.382,2.904,6.641,5.793
0.787,1.903,3.292,3.162,13.154,2.643,5.212,0.407,0.287,0.278,2.477,3.253,2.443,9.72,2.867,6.612,4.985
0.649,1.987,3.794,3.629,12.255,2.861,5.592,0.405,0.286,0.271,2.466,4.813,2.385,9.169,2.852,6.609,4.827
0.648,1.702,3.825,4.183,12.803,2.943,5.321,0.411,0.29,0.278,2.449,3.361,2.492,8.662,2.869,6.617,5.17
0.742,1.935,3.611,3.2,12.481,3.131,5.072,0.413,0.389,0.426,2.419,3.287,3.654,8.518,2.947,6.635,5.191
0.642,1.778,3.821,5.384,11.614,2.612,5.374,0.424,0.297,0.291,2.56,3.261,2.356,8.934,3.131,7.431,6.501
0.648,1.701,3.417,6.743,11.686,2.632,4.991,0.402,0.28,0.279,2.564,3.256,2.348,8.53,2.79,6.632,6.23
0.874,1.929,3.501,7.892,12.952,2.619,5.419,0.403,0.414,0.385,2.343,3.424,2.481,8.485,3.173,6.866,5.325
0.684,2.114,8.018,3.13,11.739,2.592,4.972,0.4,0.391,0.409,3.041,3.967,2.442,8.702,2.859,6.631,5.906
0.648,1.698,4.065,4.47,12.927,2.627,4.947,0.43,0.538,0.274,2.375,4.437,2.336,8.332,2.823,6.539,5.362
0.645,1.849,3.661,3.675,12.246,2.551,4.974,0.442,0.441,0.386,2.548,4.735,2.383,8.429,2.84,6.588,5.197
0.684,6.183,3.68,9.678,12.601,2.551,5.025,0.428,0.57,0.374,2.483,3.344,2.332,8.593,2.796,6.638,5.715
0.648,1.839,3.481,5.436,11.722,2.726,6.215,0.4,0.286,0.276,2.379,3.763,2.497,8.804,2.997,7.089,5.671
0.807,2.341,3.69,9.981,11.955,2.951,4.964,0.438,0.289,0.278,2.463,3.184,2.352,8.635,2.878,6.631,5.302
0.648,1.702,4.707,4.032,12.108,2.677,5.134,0.413,0.389,0.379,2.682,4.717,2.68,8.511,3.168,6.69,5.119
0.73,1.911,3.484,4.71,17.553,3.671,5.339,0.406,0.288,0.296,2.365,4.499,2.35,8.774,3.539,7.258,6.735
0.662,1.777,3.782,8.839,12.075,2.624,5.17,0.412,0.476,0.394,2.621,3.482,2.455,8.425,2.838,6.6,5.657
0.684,1.986,3.908,3.881,12.22,2.623,5.016,0.403,0.28,0.273,2.735,3.27,2.434,8.562,2.922,6.762,5.444
0.689,2.977,3.492,5.556,14.695,2.65,6.058,0.429,0.415,0.408,2.805,3.656,2.473,8.906,3.041,7.056,7.432
0.701,1.875,3.464,5.675,11.495,2.743,5.147,0.431,0.392,0.384,2.358,3.779,2.386,8.231,3.685,6.712,5.45
0.694,2.027,3.394,4.76,11.892,2.548,5.065,0.413,0.394,0.424,2.529,3.33,2.374,8.587,2.871,6.57,4.95
0.705,1.753,4.468,3.238,11.958,2.675,5.114,0.428,0.402,0.373,2.434,3.278,2.397,9.038,2.87,6.645,4.996
0.647,1.822,3.516,3.103,13.331,2.618,5.102,0.41,0.391,0.397,2.441,4.769,2.34,9.013,2.835,9.668,5.503
0.686,1.803,3.691,3.269,13.006,3.285,5.194,0.403,0.391,0.398,2.445,4.269,3.386,8.551,2.906,6.747,6.001
0.777,2.48,3.784,3.306,11.932,2.645,5.216,0.458,0.388,0.38,2.465,4.739,2.34,9.081,3.002,7.009,5.783
0.647,1.949,3.781,7.94,13.638,2.6,5.133,0.425,0.404,0.398,2.496,3.29,2.331,8.197,2.932,6.844,4.968
