native,quick,bucket,merge,bubble,insertion,selection,countingObj,gnome,fastsort,shaker,lodash
0.428,1.117,4.026,1.884,12.889,4.677,6.918,0.294,7.836,1.202,7.57,2.74
0.405,1.059,4.339,1.729,13.094,4.843,7.836,0.271,8.444,1.192,8.979,3.556
0.365,1.019,4.057,2.031,13.039,4.949,6.798,0.257,7.847,1.147,7.991,2.832
0.367,1.003,4.021,1.791,13.439,4.642,6.99,0.25,9.28,1.135,7.442,3.036
0.374,1.493,3.952,1.702,17.684,4.784,6.665,0.25,7.566,1.247,7.626,3.267
0.402,1.092,4.289,1.857,13.72,5.136,9.294,0.308,8.697,1.274,8.039,3.327
0.367,1.68,4.07,2.054,13.022,4.75,7.483,0.253,7.685,1.136,7.404,2.907
0.365,1.098,8.301,1.851,12.902,4.663,6.888,0.358,7.991,1.283,7.43,2.969
0.374,1.533,4.65,1.756,12.909,4.513,6.932,0.252,7.816,1.293,8.63,3.341
0.393,1.103,4.057,1.689,14.415,4.746,8.404,0.255,7.69,1.754,7.706,3.58
4.565,1.332,4.072,2.224,12.691,4.643,6.752,0.255,8.549,1.154,7.394,2.932
0.366,1.413,4.439,1.906,13.126,5.692,7.07,0.273,7.664,1.28,7.522,2.844
0.366,1.134,4.119,1.726,18.629,4.966,6.966,0.31,7.612,1.065,7.635,2.85
0.366,1.038,4.008,5.861,13.755,4.692,7.048,0.249,8.162,1.2,8.313,2.844
0.391,1.116,4.578,2.139,15.199,4.921,6.774,0.246,7.994,2.71,8.358,2.794
0.383,1.485,4.171,1.885,13.145,4.69,7.089,0.249,7.653,1.283,7.528,2.682
0.364,1.38,4.562,2.093,14.398,4.987,7.499,0.25,7.997,1.275,8.35,2.979
0.365,1.439,4.166,2.245,12.772,4.87,6.771,0.287,7.705,1.263,8.24,2.709
0.373,1.432,4.291,7.095,13.29,5.325,7.118,0.299,8.084,1.296,7.639,2.927
0.458,1.19,4.211,1.705,13.621,5.234,6.741,0.253,8.327,1.307,7.401,3.081
0.374,1.609,4.587,1.69,12.612,4.906,6.922,0.266,8.768,1.324,7.466,2.926
0.362,1.709,5.543,1.943,15.954,28.843,9.077,1.531,0.407,8.39,8.153,3.831
0.364,1.329,4.114,1.928,13.682,4.863,6.82,1.614,0.248,8.586,8.842,2.847
0.538,1.169,4.64,1.999,12.143,4.703,7.573,1.258,0.367,7.881,7.419,3.1
0.361,1.459,3.98,5.072,13.006,4.379,13.953,1.361,0.258,7.776,7.634,2.985
0.366,1.553,4.88,1.898,13.071,4.599,9.413,1.328,0.262,7.792,8.105,3.375
0.364,0.997,3.961,1.886,14.042,6.672,7.967,3.306,0.313,10.18,7.44,2.601
0.375,1.05,4.858,4.221,13.55,4.65,8.274,1.303,0.246,7.713,7.446,3.442
0.361,1.359,4.205,1.706,13.345,4.821,6.817,1.321,0.251,8.038,7.482,3.183
0.536,1.712,4.638,10.207,12.856,5.043,6.575,1.066,0.323,8.762,7.429,3.085
0.361,1.261,3.983,2.025,13.804,4.734,7.099,1.217,0.24,7.625,8.181,3.302
0.487,1.019,4.082,2.086,13.285,4.714,6.695,1.31,0.246,9.754,7.573,3.014
0.361,1.575,4.161,1.69,12.651,4.66,6.959,1.219,0.278,8.346,9.086,2.611
0.445,1.014,4.073,1.681,12.751,4.826,6.989,1.361,0.257,7.979,7.448,2.901
0.364,1.516,4.394,1.972,13.689,4.545,6.551,1.324,0.371,8.819,8.06,3.376
0.365,1.406,4.069,1.811,13.939,6.307,7.619,1.565,0.28,7.907,7.847,2.907
0.394,1.315,4.443,1.731,13.298,4.653,6.775,1.343,0.255,8.236,9.32,3.908
0.36,1.191,4.024,1.691,16.305,5.854,7.098,1.376,0.263,7.737,7.495,2.978
0.364,1.057,3.912,1.684,13.511,5.226,7.132,1.464,0.245,8.029,7.945,3.061
0.394,1.538,4.554,1.701,13.712,4.837,7.821,1.216,0.25,8.267,7.686,2.806
0.386,1.088,4.133,1.763,17.148,5.209,7.771,1.293,0.252,7.575,7.634,3.104
0.403,1.361,4.191,1.719,15.261,6.227,7.816,1.295,0.278,8.921,8.448,2.97
0.601,1.313,5.198,1.803,14.796,5.805,7.057,1.499,0.255,7.813,7.757,2.538
0.39,1.607,4.469,1.679,13.649,4.621,6.825,1.285,0.298,11.166,8.86,2.965
0.363,1.394,5.774,2.23,13.968,5.103,6.761,1.346,0.241,8.127,9.123,2.908
0.368,1.018,4.592,2.683,13.752,6.712,8.61,1.605,0.265,7.874,7.481,2.464
0.376,1.559,4.61,2.127,14.018,4.821,7.094,1.335,0.371,7.737,7.67,4.051
0.367,1.021,3.963,1.823,12.998,4.909,6.874,1.213,0.256,7.934,7.609,2.829
0.361,1.491,4.191,1.738,12.955,4.783,7.54,1.327,0.295,7.933,7.515,3.296
0.361,1.364,3.938,1.808,13.593,4.573,6.901,1.449,0.252,8.637,7.962,2.868
0.535,1.531,4.657,4.43,12.956,5.122,6.869,2.299,0.391,9.233,8.076,3.036
0.364,1.365,4.232,2.122,12.942,4.721,7.695,1.448,0.305,8.446,7.949,3.603
0.468,1.002,4.185,1.774,14.093,4.698,6.867,1.306,0.255,7.876,8.103,2.85
0.371,1.362,4.117,1.738,13.536,4.611,6.921,1.366,0.257,8.086,7.62,3.025
0.389,1.104,4.427,1.711,14.398,6.019,7.281,1.216,0.244,7.604,7.426,2.839
0.364,1.236,3.971,1.686,12.431,4.87,7.678,1.31,0.263,8.115,7.472,2.914
0.6,1.19,4.662,1.759,12.499,4.806,6.808,1.24,0.342,8.147,7.411,3.002
0.363,1.222,4.265,2.255,13.176,4.699,6.858,1.473,0.255,7.817,7.448,2.979
0.364,1.574,4.129,2.062,12.776,4.872,6.865,1.222,0.253,8.473,7.414,2.926
0.365,1.34,4.581,1.683,14.663,5.097,8.313,1.725,0.266,8.317,8.031,3.859
0.362,1.363,3.926,7.518,13.649,4.641,6.959,1.216,0.246,7.846,9.101,3.46
0.363,1.518,5.51,1.69,18.306,5.288,7.27,1.25,0.247,7.811,7.378,2.732
0.362,1.033,4.479,1.804,13.843,5.005,14.389,1.221,0.248,7.831,9.119,3.646
0.41,1.42,4.132,1.818,12.559,4.664,6.63,1.313,0.255,8.87,7.572,5.498
0.363,1.241,3.941,1.795,13.004,4.748,7.02,1.256,0.355,8.196,9.102,3.003
0.595,1.415,4.205,1.708,13.307,5.001,7.367,1.217,0.268,7.965,11.26,2.852
0.364,1.253,4.2,2.288,12.644,4.674,7.063,2.389,0.252,8.846,7.423,2.638
0.367,2.146,4.343,1.978,15.853,6.13,6.534,1.349,0.252,7.783,7.358,3.163
0.459,1.899,4.978,1.7,12.974,4.733,6.805,1.312,0.248,11.95,7.67,2.948
0.363,1.023,4.945,1.803,14.736,4.743,7.315,1.315,0.291,8.515,9.643,4.268
0.364,0.996,4.169,1.76,14.668,5.569,7.798,1.288,0.283,8.905,7.667,2.893
0.362,1.069,4.161,7.566,15.241,4.793,7.035,1.399,0.267,7.989,7.549,2.643
0.529,1.21,6.464,1.729,14.827,5.405,10.911,1.226,0.343,8.627,7.897,4.486
0.386,1.117,4.515,2.119,17.26,6.17,7.419,1.729,0.266,8.843,7.331,2.967
0.531,1.978,4.521,2.021,13.848,4.663,6.946,1.23,0.331,8.09,7.569,3.037
0.362,1.4,3.997,2.115,13.478,4.757,6.882,1.308,0.246,7.755,9.25,4.022
0.406,1.246,3.88,2.407,14.096,6.402,7.715,1.371,0.249,8.49,7.449,2.448
0.363,1.037,4.21,1.702,12.349,4.638,6.796,1.24,0.316,8.502,9.117,2.953
0.398,1.406,4.843,1.708,13.131,4.84,6.856,1.209,0.252,7.757,9.062,2.878
0.363,1.034,4.061,2.197,13.357,5.162,6.906,1.241,0.289,8.058,9.026,2.838
0.413,1.649,4.531,1.773,13.102,5.145,6.44,1.238,0.249,8.024,7.577,2.822
0.363,1.036,3.998,1.74,12.65,4.72,6.974,1.285,0.247,9.423,11.022,3.27
0.363,1.752,4.235,1.719,12.971,4.849,6.743,1.197,0.246,7.708,7.306,2.606
0.408,1.039,4.706,1.679,13.256,4.869,6.945,1.2,0.278,7.929,7.416,3.567
0.439,1.505,4.51,1.711,16.874,4.867,6.83,1.31,0.241,7.714,7.433,2.847
0.367,1.257,4.355,1.73,12.5,4.937,7.701,1.218,0.275,8.903,8.399,3.034
0.363,1.017,4.817,6.432,13.182,11.373,11.043,1.478,0.269,7.704,7.36,3.168
0.57,1.558,4.552,1.722,14.366,5.691,7.037,1.908,0.254,7.991,7.447,2.863
0.37,1.03,4.057,1.698,13.011,5.745,7.511,1.266,0.252,8.749,8.912,2.952
0.437,1.405,4.164,2.488,12.763,6.83,10.236,1.391,0.247,9.023,9.163,6.243
0.362,1.04,4.32,1.731,13.418,4.903,7.897,1.22,0.25,7.797,7.345,2.99
0.36,1.352,4.151,1.708,12.822,4.721,6.719,1.241,0.254,8.676,7.501,8.337
0.395,1.36,4.598,1.698,20.079,5.262,7.335,1.505,0.264,8.153,11.653,4.613
6.235,1.27,4.651,1.783,14.624,5.576,8.014,2.364,0.252,7.634,7.428,3.45
0.386,1.464,4.612,3.891,14.111,4.783,7.241,1.21,0.248,8.065,9.074,3.952
0.365,1.482,4.315,4.071,12.524,4.777,12.798,1.345,0.248,7.9,9.08,4.548
0.364,1.862,5.915,2.052,14.238,4.721,6.932,1.218,0.25,7.827,7.682,3.096
0.421,1.363,4.159,1.698,12.622,5.918,9.07,1.32,0.251,7.996,9.796,3.021
0.611,3.464,4.896,2.163,17.47,5.418,8.255,1.777,0.248,7.898,7.379,2.923
0.387,1.442,4.248,4.077,16.007,5.696,7.692,1.129,0.248,7.854,7.437,2.489
0.416,1.388,5.396,1.722,15.812,5.324,8.719,1.208,0.245,7.91,7.493,2.576
0.363,1.417,8.036,1.722,15.145,5.446,8.448,1.436,0.279,9.139,9.047,3.656
0.362,1.009,4.181,2.406,13.833,5.294,8.33,1.334,0.265,8.036,7.532,3.096
0.388,1.104,9.651,1.744,14.564,9.35,7.188,1.228,0.246,8.362,7.507,2.625
0.398,1.261,5.078,1.783,13.371,5.861,8.397,1.424,0.254,8.373,7.494,3.057
0.366,1.062,4.199,7.229,12.627,4.775,7.502,1.246,0.279,8.364,8.938,3.404
0.365,1.246,5.302,2.266,14.591,6.028,7.482,1.038,0.259,8.159,8.813,4.153
0.368,2.909,4.234,1.694,13.359,5.611,7.811,1.224,0.253,7.607,7.443,5.414
0.366,1.009,4.429,1.703,16.164,6.959,8.594,1.248,0.278,9.562,9.109,3.729
0.366,1.34,4.572,12.45,14.808,5.199,6.359,1.264,0.251,8.256,7.434,3.2
4.131,2.115,4.098,1.73,14.018,4.854,7.184,1.636,0.308,7.886,7.87,2.958
0.423,1.21,4.424,2.031,16.516,4.996,7.875,1.366,0.266,7.923,7.491,2.729
0.368,1.853,4.087,1.705,12.209,4.785,8.001,4.483,0.268,9.471,8.166,3.273
0.44,1.024,4.562,1.706,13.486,6.349,7.136,1.964,0.247,8.018,9.133,3.401
0.411,1.54,4.346,2.036,14.545,5.423,7.246,1.405,0.329,8.996,8.535,3.028
0.427,1.44,6.602,2.392,34.751,5.703,9.716,1.736,0.268,9.863,8.001,2.901
