native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.495,0.543,1.452,2.979,6.269,3.504,3.999,0.869,0.166,5.776,5.594,1.578
0.54,1.03,0.618,0.935,5.765,3.223,4.392,1.668,0.18,7.83,7.005,2.415
0.485,1.156,0.595,0.915,7.281,3.35,3.914,0.98,0.177,5.41,5.357,1.551
0.692,0.555,1.981,1.622,5.349,3.298,4.348,0.573,0.165,5.676,6.043,3.334
0.454,1.233,0.586,0.941,5.608,3.243,5.069,0.596,0.168,5.481,5.643,1.79
0.459,0.613,0.677,1.052,6.909,3.831,4.961,1.053,0.169,5.565,5.237,2.286
0.442,0.565,0.95,0.976,5.51,3.547,3.837,0.808,0.159,5.983,5.449,3.638
0.469,0.915,0.734,0.932,5.734,3.46,3.719,0.871,0.179,5.585,6.555,2.252
0.551,0.703,8.499,0.86,8.006,3.936,4.088,1.967,0.173,5.747,5.461,5.13
0.465,0.646,1.044,1.141,7.306,3.54,4.243,1.255,0.214,11.563,7.034,3.177
1.745,0.619,0.582,0.981,5.54,3.539,4.375,1.326,0.317,5.53,7.618,4.001
0.585,0.521,0.948,1.048,5.413,3.377,5.493,1.145,0.192,5.419,5.335,2.956
0.653,1.234,2.612,0.947,6.065,3.52,3.968,0.97,0.181,5.336,5.439,2.639
0.452,0.523,0.587,0.936,5.465,3.598,3.714,1.06,0.279,5.278,5.34,2.582
0.474,0.534,0.922,0.869,5.941,3.244,3.776,0.814,0.173,5.309,5.774,2.414
0.452,1.016,0.974,1.221,5.636,3.231,3.821,1.38,0.175,5.95,5.318,2.045
0.588,1.053,0.589,1.082,6.058,3.232,3.712,0.993,0.161,8.228,5.324,2.301
0.45,0.518,0.931,0.879,5.863,3.705,4,1.024,0.179,5.53,5.396,1.774
0.472,0.567,0.957,0.972,6.713,3.841,3.869,1.166,0.17,5.471,5.664,2.899
0.604,0.654,0.599,0.862,5.602,3.252,4.193,0.834,0.172,5.551,5.457,2.083
0.443,0.791,1.487,0.893,5.989,3.377,4.057,0.765,0.175,5.401,5.813,1.474
0.576,0.64,1.172,1.036,5.581,3.242,6.168,0.894,0.161,5.383,5.467,3.344
0.447,0.761,2.896,0.949,5.747,3.773,3.966,0.548,0.174,5.238,5.266,1.795
0.445,0.538,0.981,0.958,5.485,3.47,3.966,1.03,0.17,5.373,5.397,3.334
0.522,0.603,0.616,1.144,5.46,4.023,4.056,1.12,0.193,5.893,5.204,2.417
0.516,0.524,0.964,0.878,5.487,3.639,3.973,0.551,0.157,5.5,5.832,2.112
0.546,0.54,0.587,1.833,6.035,3.373,3.996,1.267,0.175,5.391,5.26,1.722
0.526,0.789,1.197,0.92,5.547,4.326,3.747,1.051,0.169,5.466,5.467,1.771
0.452,0.541,0.968,0.865,5.459,3.379,3.908,0.81,0.174,5.528,5.408,3.291
0.528,0.596,0.595,1.195,5.408,3.325,3.927,1.009,0.172,5.368,5.682,5.656
1.069,0.549,0.588,1.185,6.205,3.237,4.068,1.762,0.18,5.417,5.447,3.658
0.476,0.518,0.965,1.033,6.817,4.223,6.67,1.282,0.18,5.624,5.807,1.214
0.625,0.654,0.584,1.1,5.548,3.488,3.841,1.056,0.159,5.495,5.617,3.24
0.563,0.546,1.181,0.892,5.617,3.401,4.031,0.598,0.298,5.393,5.337,3.463
0.851,1,2.058,1.677,9.129,5.357,6.857,0.901,0.283,7.972,6.609,3.451
0.442,0.522,0.592,0.933,5.59,3.276,3.97,0.831,0.159,5.426,5.915,1.797
0.566,0.595,0.708,0.87,5.506,3.358,4.505,1.219,0.163,5.44,5.389,2.808
0.433,0.758,1.208,1.015,5.775,3.313,4.418,0.566,0.31,5.713,5.516,3.124
0.578,0.52,0.581,0.9,6.32,3.59,4.339,1.026,0.167,5.475,5.605,2.399
0.448,0.522,0.588,0.925,6.797,3.819,4.302,1.702,0.168,5.373,6.497,3.437
0.477,0.599,3.148,1.164,6.098,3.362,3.854,1.252,0.18,5.398,5.587,1.776
0.527,0.523,0.583,0.935,5.409,3.211,4.866,0.641,0.162,5.304,5.684,2.075
0.441,0.621,0.601,0.882,5.631,3.293,3.715,0.928,0.171,5.361,5.724,2.149
0.491,0.534,1.148,1.299,8.017,3.285,5.804,1.171,0.17,5.455,5.755,1.68
0.446,0.617,0.59,0.873,5.723,3.293,3.722,0.922,0.181,5.317,5.285,2.768
0.699,0.533,0.633,0.888,5.71,3.227,4.296,1.279,0.186,5.345,5.318,1.269
0.518,0.867,1.645,1.205,7.009,3.407,4.282,1.144,0.17,5.763,6.379,2.893
0.479,0.951,0.602,0.932,7.121,3.213,3.972,0.917,0.178,6.244,6.287,2.168
0.539,0.637,0.942,6.715,5.285,3.391,3.712,1.212,0.177,5.26,5.232,3.395
0.463,0.524,0.976,1.517,5.551,3.299,4.083,0.784,0.16,5.487,5.255,2.439
0.443,0.51,0.579,0.88,5.587,3.202,4.894,0.992,0.174,5.334,5.278,1.99
0.495,0.675,1.044,0.965,5.353,3.352,4.085,0.915,0.164,5.276,5.204,3.276
0.444,0.767,0.97,0.889,6.378,3.253,4.223,1.074,0.172,5.614,5.278,2.081
0.442,0.879,0.692,0.943,5.911,3.305,5.327,0.918,0.165,5.267,5.389,2.758
0.451,0.682,0.917,1.218,6.213,3.319,3.734,0.87,0.241,5.6,5.426,1.835
0.519,0.514,0.976,0.932,5.537,3.322,3.904,1.462,0.169,5.479,5.338,2.886
0.454,0.575,0.62,0.882,5.304,3.486,4.624,1.476,0.186,5.36,5.382,2.423
0.568,0.644,0.918,0.878,7.251,3.325,4.394,0.841,0.157,6.063,5.695,3.716
0.453,0.914,0.933,1.2,8.318,5.241,3.791,1.136,0.168,5.853,5.582,2.417
0.447,0.623,0.799,1.047,5.2,3.266,5.164,0.758,0.17,5.277,5.945,2.139
0.449,0.533,0.948,1.03,5.744,3.375,4.117,0.697,0.181,5.655,5.293,2.672
0.442,0.887,1.524,0.879,6.231,3.458,3.933,1.002,0.16,5.306,5.373,2.672
0.52,0.515,0.577,1.011,5.417,3.586,3.805,1.154,0.165,5.378,5.609,2.714
0.44,0.942,0.94,0.893,5.757,3.681,4.238,1.899,0.176,6.197,5.801,2.84
0.446,1.103,1.077,0.996,6.611,3.723,4.962,1.681,0.236,7.143,8.055,5.047
0.576,0.92,0.683,2.24,8.29,5.546,6.928,1.33,0.302,9.239,7.332,5.68
0.645,0.538,0.956,0.883,7.314,3.61,4.566,1.268,0.175,5.982,7.357,3.377
0.462,0.542,0.598,0.913,5.616,4.292,4.617,0.845,0.175,5.912,5.858,2.744
0.949,0.848,0.751,1.173,8.705,4.439,4.002,1.032,0.172,6.118,6.107,2.184
0.765,0.541,1.14,0.867,7.05,4.035,4.26,0.942,0.169,6.125,5.433,2.669
0.524,0.952,0.633,0.879,6.91,3.514,4.475,0.879,0.17,6.633,6.144,1.902
0.507,0.907,0.587,0.938,6.587,3.252,4.502,0.748,0.235,6.031,5.828,2.795
0.446,0.533,0.964,0.945,5.655,3.963,4.212,1.583,0.227,7.093,7.872,3.015
0.597,0.525,0.615,0.952,5.804,3.513,4.273,0.535,0.168,5.643,5.427,2.696
0.436,0.58,0.624,0.871,5.804,3.617,4.457,0.663,0.164,5.35,5.629,4.883
0.438,1.141,1.325,1.067,7.115,9.256,4.128,0.824,0.155,5.452,9.758,1.803
0.486,0.502,0.591,1.173,5.84,3.644,4.322,1.041,0.167,5.453,5.863,2.169
0.529,0.526,0.93,0.993,5.473,3.524,4.142,0.987,0.171,6.026,6.165,1.636
0.771,0.656,1.07,0.877,5.907,3.581,4.874,1.387,0.221,6.89,6.765,2.573
0.465,0.505,0.613,1.345,6.589,3.687,4.251,1.309,0.172,6.194,5.415,2.344
0.542,0.556,0.583,0.897,5.695,3.225,3.95,0.845,0.166,5.345,5.658,2.224
0.688,0.646,2.105,1.285,6.542,4.011,3.748,0.631,0.295,5.537,5.512,3.946
0.689,0.522,0.595,1.342,6.625,3.813,4.115,0.842,0.154,6.42,6.441,3.514
0.69,0.538,0.628,1.725,14.655,7.706,9.443,0.868,0.173,9.932,5.927,4.047
0.443,0.768,1.36,2.43,6.966,3.167,4.73,1.059,0.244,5.485,6.446,1.249
0.456,0.769,0.61,0.873,6.198,3.589,4.471,1.019,0.166,5.362,5.455,1.704
0.445,0.687,0.676,1.102,6.151,3.267,3.94,1,0.176,5.353,5.424,2.765
0.438,0.624,1.157,1.011,5.464,3.247,10.878,0.889,0.158,5.259,5.439,2.325
0.448,0.57,0.588,0.886,5.529,3.444,4.122,0.943,0.165,5.353,5.214,2.952
0.494,0.513,0.967,1.057,6.288,3.314,3.888,0.829,0.2,5.451,17.094,4.054
0.442,0.525,1.036,1.027,6.853,4.126,6.241,0.845,0.165,5.709,5.548,2.716
0.45,0.816,0.582,1.815,5.503,3.345,3.946,1.222,0.17,5.149,5.883,2.213
