native,quick,bucket,merge,bubble,insertion,selection,fastsort,countingObj,gnome,shaker,lodash
0.165,0.501,0.572,0.748,6.061,2.835,3.275,2.074,0.168,3.73,4.492,2.91
0.169,0.541,0.576,0.78,5.34,5.319,3.48,2.636,0.154,4.352,4.179,2.009
0.189,0.802,0.573,0.79,6.514,3.125,6.577,2.337,0.161,3.871,5.329,2.109
0.195,0.7,0.608,0.81,5.327,2.878,4.036,1.178,0.232,4.046,4.663,2.255
0.212,0.578,0.608,5.259,6.81,2.994,3.111,0.863,0.161,3.967,5.289,2.039
0.171,0.51,0.584,0.904,5.117,2.773,3.134,1.062,0.161,3.59,4.487,2.285
0.169,0.501,0.581,0.76,5.216,3.039,3.339,0.986,0.16,3.878,4.7,2.091
5.146,0.497,0.543,0.749,15.417,2.865,3.355,2.09,0.156,3.722,4.137,1.887
0.162,0.471,0.541,0.762,5.261,2.917,4.331,1.432,0.169,4.128,5.319,2
0.162,0.511,0.543,0.756,5.986,2.74,3.186,1.76,0.167,3.66,4.391,2.079
0.162,0.486,0.709,0.769,7.804,2.862,3.421,1.588,6.402,3.638,4.221,1.931
0.162,0.471,0.636,0.762,6.649,3.047,3.793,1.419,0.193,3.72,4.26,2.048
0.174,0.605,0.546,0.751,4.999,3.483,3.093,1.007,0.171,3.577,6.198,1.959
0.166,0.522,0.55,0.849,6.788,2.999,3.465,1.374,0.15,4.083,4.337,2.065
0.163,0.466,0.629,0.754,8.303,3.155,3.811,1.908,0.149,4.035,5.38,2.533
0.162,0.621,0.542,0.749,5.195,3.105,5.24,1.408,0.163,5.578,6.306,5.342
