native,quick,bucket,merge,bubble,insertion,selection,counting,counting1,counting2,counting3,fastsort,heap,radix,gnome,shell,shaker,lodash
0.394,0.665,0.561,0.807,4.647,1.871,1.937,0.419,0.193,0.125,0.137,0.979,1.092,0.675,2.114,0.375,3.193,3.513
0.401,0.335,0.627,0.801,4.414,2.946,4.116,0.15,0.211,0.118,0.177,1.495,1.515,0.556,2.156,0.419,3.633,4.03
0.431,0.595,0.571,0.964,3.991,1.779,2.189,0.196,0.119,0.121,0.207,1.033,2.109,0.62,2.068,0.354,3.319,3.548
0.484,0.341,0.548,1.052,3.12,1.752,1.942,0.141,0.146,0.126,0.116,0.624,1.082,0.553,1.941,0.357,2.922,3.133
0.604,0.698,0.686,0.959,3.672,1.928,3.183,0.145,0.217,0.209,0.128,0.815,1.344,0.541,2.198,0.367,3.152,3.444
0.405,0.394,0.556,0.801,3.587,2.218,1.969,0.154,0.205,0.128,0.108,1.157,1.578,0.53,2.282,0.395,3.436,3.289
0.403,0.454,0.556,0.794,2.565,1.703,2.014,0.141,0.115,0.113,0.116,2.462,1.08,0.502,2.211,0.357,3.105,2.851
0.439,0.367,0.592,0.844,3.83,1.585,2.543,0.247,0.117,0.108,0.106,0.836,1.188,0.602,2.182,0.358,3.297,2.617
0.385,0.338,0.649,0.835,5.318,3.252,2.026,0.268,0.111,0.156,0.225,0.865,1.09,1.636,1.992,0.406,2.814,2.902
0.409,0.338,0.555,0.793,3.223,2.914,4.288,0.253,0.251,0.296,0.127,1.543,1.32,0.871,2.696,0.36,3.817,2.445
0.556,0.331,0.564,0.918,2.781,1.808,2.271,0.187,0.11,0.113,0.108,0.857,1.118,0.551,2.234,0.436,3.243,4.801
1.013,0.372,1.188,1.264,8.757,2.404,2.326,0.149,0.111,0.199,0.211,1.434,1.143,0.584,2.551,0.625,2.975,4.153
0.44,0.344,0.629,0.802,3.357,2.756,2.667,0.148,0.115,0.114,0.124,0.825,1.07,0.585,2.071,0.37,3.177,3.357
0.408,0.377,0.644,0.916,3.149,2,3.803,0.255,0.195,0.238,0.338,1.284,1.976,0.571,3.313,0.402,5.192,4.486
0.491,0.336,0.627,0.799,2.831,1.686,2.021,0.247,0.112,0.11,0.108,0.806,1.155,0.575,2.026,0.451,2.965,6.954
0.396,0.495,0.734,1.598,7.603,1.783,3.542,1.341,0.207,0.123,0.14,0.835,1.085,0.639,2.422,0.364,3.224,3.619
0.411,0.412,0.563,0.86,2.862,1.752,1.915,0.24,0.116,0.115,0.11,0.975,1.077,0.561,2.321,0.366,2.91,3.775
0.501,0.341,0.567,0.819,2.875,2.252,2.069,0.213,0.175,0.118,0.114,1.886,1.136,1.182,3.734,0.39,4.949,6.62
0.396,0.383,0.56,0.943,2.828,1.936,2.346,0.139,0.11,0.113,0.152,0.902,1.05,0.752,2.031,0.412,3.38,3.47
0.392,0.333,1.009,0.844,2.634,1.686,2.098,0.14,0.109,0.114,0.132,0.824,1.127,0.543,2.055,0.361,2.75,2.272
0.862,0.326,0.557,0.844,3.895,1.739,1.8,0.253,0.116,0.207,0.21,0.792,1.066,0.514,2.146,0.354,3.272,2.652
0.472,0.519,0.564,0.845,2.828,1.7,2.065,0.17,0.118,0.206,0.214,2.655,1.896,0.922,3.52,0.373,4.327,3.591
0.447,0.58,0.559,0.848,5.146,1.629,1.912,0.135,0.114,0.114,0.204,0.714,1.092,0.555,1.907,0.399,2.916,3.053
0.495,0.349,0.659,0.851,2.985,1.57,2.066,0.146,0.115,0.113,0.118,1.031,1.061,0.616,1.934,0.36,3.025,3.106
0.4,0.364,0.562,1.149,3.106,1.685,2.318,0.143,0.176,0.198,0.119,0.927,1.063,0.568,2.024,0.373,3.049,3.859
0.402,0.332,0.629,0.845,4.853,2.143,2.33,0.253,0.245,0.123,0.178,0.895,1.095,0.688,2.058,0.363,2.831,2.881
0.387,0.494,0.624,0.79,3.718,1.636,1.889,0.243,0.186,0.116,0.126,1.026,1.076,0.605,1.938,0.357,2.848,2.331
0.409,0.342,0.557,0.835,2.844,1.949,1.843,0.162,0.115,0.113,0.114,0.762,1.081,0.524,2.069,0.37,2.761,2.509
0.451,0.483,0.564,0.786,2.816,1.791,1.957,0.15,0.118,0.118,0.113,0.912,1.887,0.523,1.983,0.378,3.337,3.167
0.421,0.34,0.569,0.808,3.113,3.134,2.033,0.156,0.195,0.205,0.13,0.736,1.527,0.641,2.39,0.355,3.418,2.673
0.461,0.376,0.562,0.795,3.13,1.71,1.861,0.153,0.112,0.112,0.132,1.825,1.087,0.524,2.295,0.382,2.992,3.476
0.497,0.334,0.601,0.822,3.076,1.766,2.046,0.267,0.106,0.109,0.109,0.729,1.094,0.516,5.504,0.343,3.015,2.222
0.422,0.343,2.729,0.794,2.895,1.645,1.96,0.141,0.111,0.112,0.11,0.863,1.14,0.524,1.926,0.354,2.87,3.312
0.436,0.332,0.551,0.9,2.89,1.702,1.828,0.253,0.211,0.17,0.113,0.755,1.091,0.514,1.967,0.36,2.994,3.046
0.542,0.332,0.549,0.796,3.433,2.337,1.867,0.126,0.099,0.115,0.114,0.7,1.087,0.63,1.972,0.352,2.816,3.038
0.404,0.691,0.56,0.866,3.587,1.817,1.924,0.143,0.108,0.115,0.113,1.444,1.167,0.69,2.255,0.362,3.06,3.879
0.392,0.603,0.557,6.692,2.952,1.694,1.789,0.138,0.11,0.112,0.309,0.884,1.095,0.561,3.856,0.351,2.919,3.473
0.519,0.333,0.586,0.804,3.408,1.649,2.016,0.138,0.111,0.115,0.111,1.058,1.083,0.575,1.929,0.366,2.97,2.322
0.42,0.335,0.674,0.788,2.558,1.772,1.982,0.145,0.176,0.193,0.117,0.769,1.085,0.594,2.031,0.351,2.84,2.702
0.461,0.333,0.552,0.792,3.857,1.736,2.181,0.146,0.107,0.109,0.248,1.43,1.263,0.519,2.691,0.361,2.844,2.447
0.412,0.375,0.655,6.291,3.585,1.657,1.956,0.142,0.104,0.193,0.199,0.872,1.538,0.637,2.103,0.344,3.32,3.436
0.393,0.338,0.611,0.841,2.877,1.997,2.326,0.129,0.101,0.103,0.111,0.99,1.313,0.627,2.08,0.361,2.855,2.804
0.396,0.327,0.554,0.81,3.385,1.799,1.962,0.134,0.104,0.192,0.197,0.879,1.073,0.548,1.95,0.35,2.735,2.562
0.436,0.331,0.566,0.796,3.36,1.542,2.007,0.203,0.117,0.191,0.202,1.014,1.083,0.566,1.928,0.357,2.836,4.989
0.395,0.333,0.554,0.843,4.157,1.53,2.031,0.131,0.105,0.107,0.173,0.764,1.488,0.522,2.01,0.369,3.055,3.055
0.47,0.335,0.564,6.377,3.129,1.933,1.96,0.164,0.098,0.104,0.105,0.777,1.086,0.526,2.107,0.363,2.887,2.587
0.398,0.335,0.556,1.136,3.938,7.1,1.919,0.153,0.177,0.196,0.121,0.919,1.115,0.521,1.876,0.355,2.907,2.895
0.399,0.345,1.017,0.844,4.25,1.704,2.019,0.137,0.184,0.114,0.13,0.803,1.062,0.583,2.028,0.361,2.975,2.534
0.389,0.331,0.569,0.801,2.936,1.67,1.999,0.148,0.11,0.117,0.183,1.096,1.087,0.819,2.111,0.373,3.046,2.383
0.472,0.334,0.564,1.044,3.104,1.568,1.885,0.145,0.18,0.192,0.184,1.194,1.125,0.603,2.006,0.364,2.849,2.472
0.433,0.315,0.6,0.864,2.837,1.637,2.055,0.14,0.105,0.108,0.112,1.041,1.126,0.559,1.959,0.356,3.134,3.157
0.473,0.332,0.554,0.942,3.146,3.117,4.329,0.162,0.209,0.121,0.147,1.232,1.224,0.974,2.187,0.349,2.907,2.811
0.451,0.334,0.557,0.851,3.654,1.637,2.098,0.151,0.115,0.133,0.107,0.784,1.054,0.518,2.084,0.357,2.895,2.697
0.392,0.336,6.976,0.794,2.814,1.739,2.043,0.137,0.104,0.109,0.119,1.524,1.084,0.578,2.054,0.365,2.863,3.055
0.848,0.551,1.099,0.917,5.091,2.204,3.244,0.332,0.161,0.174,0.117,1.098,1.485,0.956,2.758,0.368,3.157,6.096
0.394,0.335,0.556,0.847,2.79,1.694,2.111,0.136,0.099,0.104,5.189,0.71,1.054,0.513,1.982,0.355,2.889,3.276
0.392,0.333,0.588,0.912,4.314,1.585,1.893,0.242,0.113,0.113,0.111,1.202,1.059,0.511,1.937,0.364,2.803,2.812
0.407,0.332,0.793,0.978,3.296,1.71,2.186,0.143,0.106,0.115,0.123,1.363,1.166,0.512,2.015,0.413,2.889,3.3
0.39,0.327,0.551,0.902,3.115,1.67,2.021,0.141,0.193,0.119,0.106,0.704,1.294,0.521,2.131,0.37,2.805,3.071
0.385,0.334,0.549,0.819,2.984,1.897,2.951,0.277,0.105,0.124,0.104,0.911,1.1,0.607,1.951,0.368,3.136,3.481
0.513,0.472,3.639,0.957,3.999,1.768,1.973,0.247,0.108,0.115,0.113,0.829,1.078,0.594,2.107,0.362,3.072,2.985
0.412,0.331,0.561,0.839,2.985,1.59,3.059,0.136,0.101,0.101,0.102,0.886,1.053,0.558,2.023,0.351,2.822,3.013
0.399,0.327,0.559,0.804,3.11,1.637,2.632,0.136,0.106,0.198,0.266,1.011,1.182,0.518,2.08,0.351,2.932,2.76
0.44,0.331,0.569,0.908,2.853,2.04,2.064,0.139,0.11,0.109,0.106,0.682,1.056,0.571,1.946,0.361,2.937,2.74
0.538,0.332,0.552,7.584,3.056,1.675,2.041,0.25,0.174,0.118,0.111,1.109,1.193,0.517,1.989,0.362,2.78,3.183
0.4,0.339,0.552,0.791,4.187,1.826,2.068,0.141,0.11,0.114,0.111,0.87,1.565,0.558,2.09,0.386,2.875,3.707
0.404,0.865,0.686,0.863,2.983,2.121,2.331,0.251,0.183,0.133,0.116,1.329,1.169,0.564,2.348,0.509,2.996,3.061
0.396,0.523,0.57,0.799,2.788,1.748,2.157,0.137,0.111,0.179,0.207,0.726,1.106,1.233,2.13,0.36,2.949,3.215
0.461,0.334,0.601,0.813,3.531,1.625,1.876,0.141,0.105,0.115,0.229,0.85,1.267,1.171,3.445,0.368,2.845,2.949
0.404,0.337,0.641,0.839,2.545,1.649,3.111,0.137,0.098,0.108,0.106,0.99,1.121,0.521,2.052,0.352,2.986,2.324
0.398,0.334,0.551,0.792,3.338,1.601,2.109,0.141,0.109,0.114,0.206,0.942,1.085,0.567,1.965,0.354,2.89,3.531
0.551,0.333,0.747,0.798,3.227,1.571,3.138,0.139,0.109,0.179,0.129,0.79,1.107,0.546,1.979,0.359,2.895,2.636
0.416,0.328,0.567,0.838,2.902,1.836,1.976,0.23,0.109,0.198,0.187,0.735,1.309,0.558,2.044,0.368,2.883,3.048
0.391,0.551,0.552,0.97,2.855,1.694,1.973,0.131,0.102,0.108,0.104,0.701,1.17,0.706,2.127,0.359,2.902,2.689
0.379,0.335,0.561,0.899,2.93,1.682,1.902,0.236,0.109,0.118,0.207,0.969,1.285,0.507,2.367,0.356,2.831,3.36
0.401,0.332,0.625,0.835,3.451,1.519,1.87,0.141,0.108,0.122,0.111,1.521,1.075,0.744,2.053,0.345,2.848,2.481
0.398,0.336,0.582,0.795,2.538,1.649,2.179,0.211,0.171,0.18,0.118,0.734,1.096,0.557,1.951,0.357,2.913,4.007
0.474,0.333,0.552,0.79,2.926,1.877,1.996,0.139,0.107,0.198,0.115,0.731,1.253,0.574,2.035,0.351,3.879,2.412
0.428,0.442,0.56,0.877,2.707,1.602,2.249,0.135,0.106,0.117,0.114,0.592,1.545,0.528,2.098,0.357,3.35,2.334
0.394,0.364,0.643,0.847,2.911,1.688,2.146,0.132,0.104,0.105,0.109,0.979,1.083,0.529,1.983,0.349,3.095,3.208
0.523,0.339,0.558,0.887,3.089,1.61,2.022,0.137,0.109,0.11,0.108,0.771,1.248,0.563,1.954,0.368,2.898,2.482
0.393,0.332,0.603,0.788,3.803,1.746,2.454,0.138,0.114,0.207,0.12,0.668,1.053,0.546,2.078,0.354,2.833,3.034
0.395,0.356,0.558,0.789,2.894,1.814,2.402,0.146,0.104,0.115,0.122,1.138,1.076,0.548,2.045,0.351,2.792,2.925
0.4,0.594,0.56,0.857,3.258,1.851,1.939,0.131,0.098,0.125,0.109,1.104,1.609,0.513,1.976,0.347,3.019,2.781
0.449,0.492,0.566,0.8,3.207,1.701,2.039,0.142,0.11,0.112,0.111,1.062,1.179,0.6,2.425,0.388,3.171,4.483
0.603,0.541,0.818,1.113,4.479,2.678,2.718,0.227,0.179,0.114,0.112,1.639,1.255,1.008,3.455,0.643,4.336,4.858
0.478,0.332,0.791,0.815,4.192,1.78,2.226,0.138,0.123,0.121,0.117,1.107,1.269,0.564,2.383,0.345,3.562,3.673
0.527,0.341,0.721,0.794,3.402,2.077,2.065,0.135,0.129,0.112,0.109,0.87,1.074,0.569,2.285,0.36,3.055,2.643
1.09,0.336,1.247,0.867,6.439,1.931,2.637,0.249,0.116,0.13,0.132,1.131,2.102,0.833,2.525,0.489,2.895,3.148
0.544,0.335,0.676,0.795,4.119,1.547,1.93,0.138,0.106,0.192,0.201,1.109,1.552,0.569,2.702,0.353,3.652,3.436
0.414,0.336,0.567,0.776,2.871,1.862,1.962,0.134,0.158,0.117,0.2,1.633,1.155,0.649,2.818,0.441,3.444,8.629
0.583,0.328,0.557,0.849,3.445,1.752,2.507,0.306,0.11,0.115,0.117,0.981,1.082,0.597,2.009,0.381,3.212,3.609
0.402,0.335,0.571,1.039,4.16,1.717,1.881,0.235,0.216,0.205,0.207,0.747,1.224,0.591,3.2,0.379,3.436,4.974
0.384,0.323,0.597,0.793,2.893,1.701,1.998,0.202,0.108,0.111,0.111,1.245,1.151,0.551,2.05,0.389,3.258,2.738
0.395,0.33,0.56,0.808,3.433,1.746,1.943,0.143,0.186,0.196,0.108,1.148,1.085,0.535,2.301,0.367,2.854,3.578
0.394,0.638,0.635,0.796,3.117,6.627,2.109,0.136,0.113,0.113,0.114,0.636,1.07,0.54,1.941,0.346,3.609,4.002
0.43,0.337,0.554,1.173,4.728,1.812,2.013,0.276,0.185,0.118,0.118,0.672,1.058,0.57,2.355,0.363,2.903,2.839
0.422,0.334,0.687,0.8,3.5,1.782,2.037,0.183,0.207,0.119,0.112,1.338,1.129,0.566,2.061,0.51,2.828,2.847
0.676,0.448,0.576,0.79,2.907,2.622,4.884,0.138,0.099,0.105,0.104,1.049,1.112,0.563,2.027,0.41,2.837,2.754
0.535,0.333,0.56,1.062,3.09,2.081,2.099,0.268,0.109,0.109,0.246,1.652,1.215,0.663,2.531,0.354,2.824,3.325
0.577,0.335,0.553,0.81,2.886,1.591,1.886,0.14,0.104,0.112,0.179,0.763,1.046,0.584,2.171,0.354,3.217,2.295
0.489,0.332,0.551,1.08,3.593,2.243,2.096,0.256,0.185,0.142,0.115,0.938,1.293,0.517,2.39,0.364,3.105,3.154
0.463,0.343,0.557,1.099,2.908,1.741,1.963,0.137,0.111,0.47,0.131,0.686,1.233,0.521,2.201,0.353,3.34,2.741
0.459,0.332,0.595,1.722,6.624,3.481,3.505,0.24,0.184,0.121,0.207,2.08,2.153,2.926,9.597,0.354,2.978,3.748
0.396,0.579,0.847,0.783,3.355,1.874,1.976,0.233,0.109,0.191,0.117,0.683,1.099,0.623,2.601,0.339,2.792,3.446
0.394,0.513,0.831,0.812,5.034,1.653,2.091,0.238,0.108,0.11,0.104,0.746,1.086,0.78,2.06,0.423,3.063,2.583
0.413,0.327,0.743,0.919,2.973,1.515,2.002,0.192,0.11,0.224,0.111,1.054,1.291,0.536,2.213,0.343,2.908,3.287
0.395,0.339,0.556,0.902,2.89,1.686,2.272,0.143,0.102,0.103,0.107,0.828,1.061,0.513,1.993,0.363,2.948,3.348
0.378,0.334,0.577,0.822,2.843,1.711,2.124,0.249,0.18,0.117,0.112,0.989,1.118,0.568,1.956,0.354,3.025,2.925
0.552,0.333,0.56,0.851,4.031,1.703,1.983,0.142,0.114,0.127,0.117,0.744,1.067,0.568,2.017,0.358,3.051,4.903
0.388,0.331,0.641,1.514,3.149,2.516,2.723,0.135,0.199,0.225,0.106,0.807,1.161,0.514,2.86,0.358,3.552,3.61
0.673,0.445,0.551,0.788,3.122,1.757,2.101,1.038,0.34,0.11,0.114,1.093,1.161,0.671,2.129,0.353,3.288,2.501
