native,quick,bucket,merge,bubble,insertion,selection,counting,counting2,counting3,heap,radix,gnome,fastsort,shell,shaker,lodash
0.079,0.17,0.329,0.417,3.39,1.881,1.865,0.077,0.054,0.052,0.512,0.283,1.946,0.359,0.218,2.936,0.837
0.092,0.178,0.329,0.502,2.65,2.018,1.865,0.076,0.056,0.05,0.57,0.284,1.969,0.389,0.226,2.977,0.831
0.076,0.213,0.331,0.415,2.589,1.809,2.048,0.073,0.055,0.05,0.534,0.285,2.024,0.356,0.229,3.021,0.89
0.077,0.173,0.327,0.411,2.663,1.812,2.015,0.745,0.063,0.055,0.575,0.286,2.1,0.339,0.221,3.112,0.886
0.076,0.177,0.33,0.851,2.8,2.392,1.848,0.072,0.088,0.051,0.511,0.283,1.948,0.353,0.227,3.187,0.832
0.078,0.174,0.326,0.414,2.689,1.904,2,0.074,0.052,0.051,0.58,0.278,1.913,0.353,0.234,3.141,0.908
0.077,0.173,0.331,0.448,3.622,1.904,1.819,0.074,0.052,0.049,0.513,0.283,1.945,0.359,0.228,3.304,0.885
0.082,0.228,0.349,0.479,2.839,1.978,1.827,0.082,0.061,0.056,0.558,0.308,2.126,0.357,0.233,3.156,0.88
0.086,0.176,0.326,0.425,2.618,1.896,2.138,0.077,0.059,0.055,0.544,0.284,1.947,0.337,0.227,3.116,0.876
0.094,0.222,0.348,0.413,3.446,1.871,2.093,0.077,0.063,0.057,0.544,0.302,1.979,0.362,0.206,3.045,0.938
0.077,0.172,0.358,0.478,3.733,1.922,1.873,0.073,0.054,0.051,0.621,0.285,2.077,0.367,0.238,7.464,0.834
0.094,0.177,0.329,0.52,3.558,1.936,2.062,0.086,0.065,0.052,0.503,0.307,2.016,0.337,0.324,3.091,1.06
0.078,0.176,0.327,0.414,2.78,1.958,1.8,0.074,0.053,0.057,0.506,0.284,1.977,0.346,0.237,3.029,0.826
0.083,0.178,0.325,0.466,2.693,1.919,1.996,0.072,0.053,0.048,0.516,0.283,1.999,0.363,0.224,3.206,0.913
0.081,0.172,0.333,0.423,2.708,1.98,2.75,0.079,0.073,0.073,0.503,0.281,1.994,0.34,0.222,3.132,0.888
0.076,0.174,0.333,0.47,2.574,1.894,2.181,0.076,0.056,0.052,0.506,0.284,2.024,0.356,0.225,3.13,0.832
0.081,0.177,0.328,0.41,2.551,2.218,3.598,0.076,0.061,0.054,0.638,4.463,2.008,0.337,0.226,3.12,0.826
0.077,0.173,0.393,0.604,3.409,1.918,1.825,0.077,0.06,0.052,0.507,0.315,2.034,0.354,0.229,3.581,0.835
0.077,0.175,0.365,0.418,2.545,1.936,1.847,0.077,0.066,0.058,0.509,0.28,1.967,0.34,0.222,3.122,0.847
0.079,0.185,0.329,0.419,2.932,1.974,2.106,0.072,0.055,0.056,0.544,0.282,2,0.425,0.222,3.155,0.832
0.146,0.256,0.33,0.463,3.37,1.919,1.867,0.081,0.062,0.052,0.506,0.278,2.001,0.359,0.213,2.963,1.013
0.077,0.174,0.42,0.417,2.612,1.96,1.985,0.074,0.056,0.05,0.516,0.305,2.044,0.356,0.227,3.049,0.842
0.078,0.172,0.329,0.435,2.632,1.933,1.931,0.078,0.059,0.092,0.55,0.282,2.043,0.358,0.23,3.25,0.868
0.076,0.178,0.345,1.338,2.819,1.922,2.003,0.077,0.057,0.052,0.731,0.28,2.142,0.354,0.225,4.736,0.829
0.076,0.174,0.33,0.415,2.577,1.919,1.819,0.079,0.052,0.047,0.504,0.282,1.967,0.355,0.23,3.135,0.824
0.092,0.178,0.368,0.412,3.585,1.892,2.072,0.078,0.055,0.053,0.583,0.281,1.949,0.361,0.214,2.938,0.869
0.081,0.182,0.326,0.418,2.622,1.942,2.032,0.077,0.056,0.051,0.513,0.351,2.066,0.337,0.228,2.921,0.91
0.083,0.178,0.458,0.516,3.002,1.912,2.132,0.076,0.056,0.051,0.52,0.304,2.183,0.339,0.226,3.414,0.831
0.077,0.172,0.388,0.416,3.425,1.779,2.138,0.078,0.056,0.057,0.541,0.305,2.154,0.355,0.223,3.279,0.888
0.082,0.228,0.329,0.44,2.417,1.958,1.813,0.076,0.056,0.052,0.514,0.323,2.051,0.356,0.221,3.259,1.042
0.076,0.174,0.326,0.455,3.393,2.721,2.085,0.072,0.173,0.056,0.513,0.284,2.013,0.466,0.221,3.216,1.016
0.076,0.181,0.326,0.421,2.659,1.935,1.986,0.076,0.057,0.055,0.5,0.301,1.976,0.729,0.265,3.065,0.906
0.076,0.174,0.319,0.415,2.573,1.955,1.843,0.076,0.061,0.052,0.509,0.305,2.048,0.346,0.227,3.209,0.874
0.078,0.175,0.41,0.564,3.428,2.033,1.799,0.087,0.062,0.058,0.511,0.282,2.159,0.357,0.225,3.158,0.907
0.077,0.179,0.384,0.413,2.754,1.905,2.096,0.084,0.061,0.052,0.503,0.279,1.985,0.358,0.231,3.344,0.825
0.082,0.174,0.322,0.415,2.751,1.936,3.659,0.075,0.055,0.05,0.545,0.282,2.019,0.354,0.222,3.123,0.823
0.077,0.192,0.329,0.42,2.767,1.722,2.026,0.074,0.053,0.052,0.533,0.282,2.012,0.388,0.229,3.151,0.87
0.076,0.171,0.326,0.415,2.787,1.904,1.954,0.074,0.056,0.051,0.508,0.285,2.063,0.355,0.225,3.143,0.86
0.076,0.172,0.323,0.415,2.641,1.953,2.671,0.076,0.056,0.055,0.511,0.283,2.096,0.357,0.223,3.189,0.993
0.076,0.177,0.352,0.413,2.622,2.015,1.88,0.08,0.061,0.092,0.528,0.282,2.029,0.357,0.224,3.637,0.825
0.076,0.175,0.321,0.41,3.32,1.803,1.89,0.076,0.057,0.063,0.542,0.341,2.065,0.379,0.228,3.09,0.828
0.08,0.174,0.322,5.147,3.399,2.016,2.835,0.079,0.055,0.051,0.507,0.279,2.013,0.357,0.225,2.94,0.837
0.078,0.174,0.321,0.525,2.78,1.932,2.009,0.075,0.055,0.051,0.509,0.295,2.026,0.339,0.21,3.053,0.941
0.119,0.233,0.78,0.416,2.582,1.951,2.034,0.077,0.057,0.086,0.523,0.315,4.144,0.355,0.233,3.264,0.833
0.077,0.179,0.321,0.414,2.787,1.921,2.165,0.079,0.062,0.052,0.522,0.28,2.558,0.537,0.232,3.322,0.87
0.1,0.23,0.322,0.415,2.564,1.922,1.874,0.078,0.059,0.053,0.565,0.304,2.088,0.337,0.223,2.948,6.308
0.077,0.187,0.321,0.413,7.947,1.957,2.632,0.077,0.06,0.054,0.514,0.38,2.08,0.433,0.231,3.301,0.863
0.082,0.187,0.342,0.584,3.465,1.946,2.307,0.08,0.056,0.052,0.508,0.285,1.95,0.359,0.244,2.845,0.897
0.157,0.2,0.341,0.411,2.807,2.146,1.844,0.074,0.055,0.052,0.51,0.281,2.065,0.34,0.233,2.991,1.157
0.077,0.198,0.327,0.42,2.632,1.901,1.845,0.082,0.061,0.056,0.511,0.282,2.056,0.355,0.222,3.188,0.822
0.077,0.172,0.323,0.413,2.597,1.923,2.045,0.079,0.057,0.053,0.513,0.283,2.1,0.911,0.224,3.241,1.41
0.077,0.191,0.38,0.413,2.842,1.792,2.509,0.079,0.061,0.055,0.727,0.334,1.995,0.358,0.229,4.178,0.859
0.076,0.179,0.321,0.472,2.596,2.062,2.266,0.074,0.059,0.052,0.512,0.286,2.033,0.336,0.225,3.119,0.876
0.076,0.176,0.356,0.416,2.686,1.744,2.051,0.072,0.056,0.052,0.511,0.282,2.024,0.359,0.222,3.254,1.105
0.077,0.171,0.403,0.426,2.619,1.935,1.869,0.083,0.076,0.053,0.508,0.314,1.986,0.356,0.23,3.24,0.83
0.085,0.173,0.324,0.483,2.741,1.885,4.259,0.076,0.053,0.047,0.57,0.307,2.015,0.355,0.227,3.185,0.84
0.082,0.186,0.321,0.415,3.584,1.957,1.817,0.075,0.061,0.06,0.509,0.284,1.999,0.41,0.228,3.128,1.007
0.081,0.18,0.357,0.431,3.463,1.86,1.918,0.071,0.065,0.053,0.504,0.281,1.985,0.656,0.233,3.228,0.898
0.117,0.176,0.341,0.411,2.615,1.954,2.076,0.08,0.061,0.053,0.506,0.284,2.205,0.354,0.226,3.162,0.817
0.078,0.188,0.324,0.413,2.616,7.69,2.042,0.101,0.054,0.049,0.506,0.332,2.009,0.357,0.231,3.146,0.913
0.077,0.175,0.335,0.412,2.58,1.948,1.875,0.078,0.057,0.05,0.504,0.281,1.954,0.358,0.232,3.203,0.838
0.076,0.176,0.32,0.46,2.684,1.877,1.92,0.092,0.059,0.052,0.511,0.297,2.04,0.34,0.233,3.176,0.83
0.076,0.18,0.322,0.415,2.667,1.783,2.072,0.079,0.059,0.061,0.543,0.286,2.026,0.355,0.225,3.147,0.837
0.08,0.18,0.321,0.417,3.435,1.945,2.032,0.075,0.054,0.051,0.506,0.279,1.998,0.363,0.22,2.975,0.827
