native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.024,0.059,0.105,0.028,0.028,0.026,0.025,0.215,0.075,0.068,0.516,0.455,0.299,0.151,0.134,0.595,0.2,0.187,0.255
0.025,0.059,0.104,0.026,0.025,0.039,0.028,0.214,0.08,0.063,0.497,0.287,0.28,0.125,0.137,0.56,0.199,0.174,0.234
0.026,0.061,0.107,0.036,0.028,0.034,0.024,0.239,0.089,0.067,0.495,0.305,0.32,0.139,0.149,0.778,0.315,0.165,0.193
0.024,0.063,0.253,0.027,0.03,0.025,0.022,0.217,0.078,0.626,0.428,0.286,0.311,0.17,0.143,0.672,0.283,0.159,0.183
0.024,0.091,0.13,0.03,0.031,0.029,0.025,0.217,0.079,0.065,0.517,0.694,0.288,0.175,0.267,0.554,0.202,0.19,0.205
0.025,0.064,0.099,0.028,0.031,0.026,0.124,0.214,0.079,0.067,0.495,0.29,0.283,0.15,0.146,0.781,0.198,0.182,0.202
0.025,0.064,0.138,0.031,0.036,0.027,0.025,0.218,0.096,0.066,0.521,0.294,0.289,0.135,0.139,0.78,0.21,0.193,0.284
0.025,0.06,0.1,0.03,0.029,0.035,0.031,0.217,0.104,0.073,0.422,0.287,0.287,0.179,0.142,0.664,0.284,0.163,0.184
0.024,0.059,0.102,0.025,0.031,0.028,0.05,0.247,0.081,0.062,0.543,0.309,0.292,0.194,0.138,0.947,0.31,0.171,0.294
0.025,0.059,0.098,0.027,0.031,0.029,0.027,0.231,0.088,0.063,0.536,0.285,0.305,0.169,0.137,0.574,0.211,0.195,0.213
0.029,0.061,0.102,0.036,0.03,0.027,0.041,0.366,0.082,0.068,0.583,0.503,0.288,0.122,0.14,0.612,0.417,0.172,0.202
0.024,0.06,0.122,0.031,0.026,0.028,0.025,0.216,0.085,0.063,0.498,0.3,0.285,0.158,0.14,0.5,0.207,0.174,0.232
0.025,0.059,0.103,0.028,0.025,0.027,0.024,0.214,0.08,0.066,0.476,0.329,0.464,0.123,0.138,0.555,0.187,0.179,0.197
0.026,0.065,0.111,0.078,0.033,0.042,0.032,0.327,0.102,0.076,6.181,10.924,11.157,0.132,0.151,0.547,0.198,0.182,0.192
0.026,0.067,0.378,0.03,0.035,0.035,0.029,0.237,0.093,0.068,0.52,0.308,0.306,0.162,0.148,0.781,0.343,3.655,0.2
0.027,0.068,0.115,0.028,0.033,0.029,0.027,5.7,0.1,0.081,1.233,0.629,0.356,0.133,0.15,0.724,0.979,1.324,0.248
0.025,0.065,0.103,0.028,0.029,0.03,0.027,0.215,0.079,0.062,0.607,0.364,0.353,0.123,0.152,0.703,0.345,0.19,0.196
0.025,0.062,0.101,0.028,0.204,0.061,0.026,0.245,0.087,0.068,0.542,0.347,0.289,0.153,0.149,0.558,0.212,0.18,0.201
0.024,0.066,0.109,0.028,0.028,0.025,0.024,0.22,0.089,0.067,0.906,0.308,0.306,0.168,0.141,0.563,0.208,0.178,0.215
0.024,0.082,0.101,0.027,0.031,0.027,0.029,0.218,0.08,0.097,0.865,0.317,0.307,0.132,0.244,3.073,0.226,0.183,0.197
0.026,0.059,0.103,0.025,0.026,0.029,0.025,0.224,0.088,0.069,0.525,0.333,1.467,0.232,0.141,0.598,0.206,0.191,0.219
0.024,0.062,0.105,0.029,0.028,0.027,0.026,0.216,0.082,2.42,0.635,0.287,0.337,0.129,0.149,0.613,0.201,0.603,0.494
0.025,0.083,0.104,0.039,0.076,0.03,0.027,0.254,0.08,0.064,0.592,0.286,0.288,0.17,0.14,3.217,0.368,0.225,0.199
0.024,0.066,0.108,0.03,0.034,0.032,0.03,0.226,0.089,0.075,0.928,0.306,0.312,0.579,1.508,1.102,0.342,0.614,0.218
0.024,0.062,0.145,0.03,0.027,0.031,0.031,0.232,0.085,0.067,0.608,0.305,0.416,0.156,0.141,0.603,0.336,0.199,0.199
0.025,0.103,0.106,0.043,0.174,0.033,0.027,0.428,0.091,0.074,0.635,0.301,0.291,0.125,0.154,0.78,0.313,0.319,0.264
0.027,0.091,0.123,0.03,0.028,0.025,0.028,0.25,0.085,0.071,0.584,0.341,0.314,0.156,0.166,2.594,0.362,0.173,0.245
0.029,0.067,0.122,0.027,0.06,0.03,0.027,0.215,0.079,0.115,0.626,0.566,0.29,0.165,0.147,2.679,0.533,0.194,0.292
0.024,0.064,0.112,0.051,0.033,0.034,0.027,0.285,0.091,0.071,0.8,0.456,0.304,0.131,0.146,0.623,0.313,0.195,0.248
0.024,0.069,0.137,0.034,0.035,0.035,0.028,0.564,0.085,0.062,2.848,0.307,0.308,0.171,0.212,0.803,0.921,0.193,0.221
0.027,0.065,0.108,0.028,0.025,0.025,0.024,0.228,0.094,0.068,0.519,0.313,0.302,0.306,0.162,0.696,0.354,0.182,0.229
0.027,0.061,0.109,0.032,0.03,0.03,0.038,0.441,0.08,0.065,0.551,0.291,0.336,0.134,0.163,0.912,0.215,0.201,0.284
0.025,0.068,0.139,0.026,0.025,0.027,0.024,0.231,0.086,0.087,0.545,0.406,0.414,0.13,0.169,0.639,0.226,0.202,0.385
0.024,0.061,0.098,0.026,0.029,0.032,0.025,0.219,0.091,0.072,1.86,0.309,0.33,0.151,0.206,1.048,0.359,0.186,0.204
0.024,0.061,0.105,0.029,0.026,0.032,0.043,0.217,0.085,0.098,0.535,1.317,0.494,0.171,0.144,0.544,0.222,0.197,0.228
0.024,0.065,0.101,0.028,0.03,0.031,0.028,0.301,0.155,0.067,0.613,0.302,0.303,0.167,0.145,0.993,0.327,0.165,0.186
0.024,0.062,0.107,0.028,0.026,0.027,0.025,0.215,0.079,0.074,0.457,0.323,0.293,0.273,0.15,0.811,1.371,0.177,0.369
0.026,0.413,0.102,0.025,0.025,0.028,0.025,4.622,0.095,0.178,0.722,0.552,0.308,0.142,0.233,0.785,0.257,0.188,0.205
0.027,0.065,0.643,0.03,0.029,0.03,0.025,0.232,0.091,0.075,0.435,0.306,14.334,0.38,0.16,0.926,0.275,0.41,0.273
0.027,0.06,0.1,0.028,0.027,0.03,0.023,0.292,0.081,0.064,0.521,0.746,0.606,0.129,0.142,0.555,0.2,0.187,0.221
0.024,0.063,0.1,0.029,0.03,0.03,0.033,0.256,0.52,0.068,0.484,0.327,2.779,0.156,0.144,0.73,0.296,0.207,0.211
0.027,0.063,0.104,0.031,0.03,0.027,0.027,0.234,0.089,0.069,0.798,0.523,0.307,0.407,0.169,1.655,0.205,0.183,0.408
