native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.08,0.148,0.17,0.086,0.077,0.097,1.007,0.795,0.354,0.231,0.283,6.893,0.471,0.326,0.359
0.115,0.079,0.095,0.051,0.045,0.043,1.229,0.55,0.545,0.283,0.194,1.69,0.198,0.416,0.176
0.08,0.089,0.103,0.309,0.057,0.051,0.462,0.654,0.412,0.127,0.177,1.887,0.185,0.176,0.343
0.077,0.076,0.091,0.051,0.051,0.044,2.841,0.619,0.558,0.12,0.173,2.328,0.217,0.537,0.194
0.088,0.155,0.111,0.059,0.046,0.046,0.577,0.588,0.332,0.125,0.302,2.336,0.335,0.354,0.41
0.077,0.139,0.101,0.051,0.044,0.043,0.686,0.295,0.563,0.241,0.17,1.16,0.392,0.382,0.173
0.076,0.137,0.102,0.074,0.09,0.045,0.611,0.503,0.544,0.218,0.171,1.313,0.206,0.177,0.365
0.081,0.083,0.108,0.053,0.047,0.045,0.728,0.295,0.337,1.016,0.17,1.561,0.22,0.193,0.193
0.081,0.078,0.104,0.055,0.049,0.046,1.397,0.492,0.547,0.244,0.173,1.492,0.232,0.197,0.215
0.077,0.082,0.097,0.055,0.057,0.046,0.725,0.305,0.301,0.126,0.171,1.372,0.398,0.175,0.365
0.078,0.144,0.103,0.057,0.048,0.046,0.785,0.491,0.586,0.254,0.172,1.621,0.219,0.208,0.375
0.08,0.138,0.16,0.058,0.051,0.05,1.89,0.352,0.306,0.129,0.174,2.698,0.776,0.193,0.186
0.081,0.084,0.268,0.056,0.074,0.058,2.963,0.385,0.561,0.217,0.175,2.642,0.211,0.306,0.183
0.083,0.472,0.125,0.056,0.049,0.046,0.786,0.615,0.289,0.223,0.171,1.025,0.192,0.169,0.168
0.132,0.097,0.092,0.056,0.048,0.051,0.902,0.3,0.301,0.123,0.173,1.08,0.203,0.381,0.685
0.08,0.078,0.17,0.1,0.09,0.063,0.785,0.343,0.409,0.145,0.298,1.967,0.26,0.176,0.489
0.107,0.125,0.104,0.052,0.043,0.042,0.724,0.704,0.599,0.238,0.259,1.285,0.268,0.382,0.363
0.08,0.113,0.366,0.087,0.082,0.087,3.616,0.596,0.354,0.216,0.511,3.04,0.353,0.229,0.194
0.083,0.178,0.101,0.083,0.054,0.057,0.832,0.321,0.328,0.128,0.175,2.632,0.194,0.174,0.298
0.077,0.08,0.165,0.056,0.047,0.044,0.569,0.35,0.4,0.126,0.174,2.606,0.284,0.328,0.411
